"wir_id","incident_date","species","confirmed_category","behavior_observed","incident_status","county_name","latitude","longitude"
"WIR-2022-000644","2/23/2022 0:00","Black Bear","Depredation","(Uploaded by Investigator) Two cubs entered kitchen and took bag of cat food outside; sow then observed in driveway consuming cat food.","Closed","Los Angeles",34.1723418,"-118.0440671"
"WIR-2022-000635","2/28/2022 0:00","Black Bear","General Nuisance","Is bedded down under deck. Has come out multiple times in last month. Got into garage/garbage and refrigerator yesterday. Chased off and boarded up aces bear returned within hours and tore off boards and is back under deck. We have had multiple encounters with bear in the last 4yr (3 times inside home) Need assistance removing bear from premise","Active","Nevada",39.3672141,"-120.1124362"
"WIR-2022-000627","2/25/2022 0:00","Black Bear","General Nuisance","A bear was spotted on grounds near the chapel area, the security team responded but was unable to locate the bear","Closed","Los Angeles",34.12551,"-117.7394985"
"WIR-2022-000626","2/25/2022 0:00","Black Bear","General Nuisance","Bear was spotted by a group of students near the gymnasium. A faculty member had radioed the security team its location and was able to guide it towards the hills. The security team was unable to gain visuals","Closed","Los Angeles",34.1254745,"-117.7394556"
"WIR-2022-000616","2/10/2022 0:00","Black Bear","Depredation","(Uploaded by Investigator) RP information relayed from Teresa Meras (SURCOM)- received a call from a homeowner regarding a bear that is living under his deck and seeking advice.","Closed","Santa Barbara",34.4012799,"-119.4578795"
"WIR-2022-000615","2/24/2022 0:00","Black Bear","General Nuisance","A sow and two juveniles got into an outdoor freezer in the backyard of the property. The bears destroyed the food items inside. The bears were on the property for approximately 15 minutes before they were scared off by continuous barking dogs in the neighborhood.","Active","Los Angeles",34.1729006,"-118.0441946"
"WIR-2022-000614","2/23/2022 0:00","Black Bear","Depredation","Juvenile bear entered home through open window while no one was there.","Active","Los Angeles",34.1687816,"-118.056096"
"WIR-2022-000595","2/22/2022 0:00","Black Bear","Potential Human Conflict","The bear (yearling?) attempted and failed to gain access to the bear-proof trash cans within the upper dorms trash enclosure.","Closed","Los Angeles",34.1262316,"-117.7391552"
"WIR-2022-000591","2/18/2022 0:00","Black Bear","Depredation","Bear broke into Chester Moore's condo (permit holder of previous permit) on friday night, then attempted to do it again. Bear also broke into another condo on friday night that was not occupied. Chester and his family were in the home when the bear broke in. It is breaking door jams to get into homes. They are putting up imitated electric wire (bungee chords) to deter the bear from their home entrance.","New","Placer",39.1824631,"-120.1286267"
"WIR-2022-000590","2/20/2022 0:00","Black Bear","General Nuisance","(Uploaded by Investigator) RP information relayed from Taylor Oglesby (SURCOM) on 2/20/22- ""received a call tonight from a homeowner in Altadena about a bear that has made a home under their house. They are requesting a callback for some advise on how  to get rid of this bear safely.""","Closed","Los Angeles",34.19171,"-118.1059981"
"WIR-2022-000581","2/18/2022 0:00","Black Bear","General Nuisance","2 bears broke into basement through crawl-space type screen covering. RP is concerned it is a sow who has newborn cubs underneath the house.","Closed","Los Angeles",34.1541556,"-118.0632758"
"WIR-2022-000559","2/18/2022 0:00","Black Bear","General Nuisance","Officer Yancor from Pasadena Humane responded to a report of two bears under a house.  The officer observed the animals emerging from the crawl space and walking away from the residence. No ear tags were seen. No further action is required.","Closed","Los Angeles",34.1542716,"-118.0632919"
"WIR-2022-000553","2/17/2022 0:00","Black Bear","Potential Human Conflict","Bear entered into the Gym where staff was working alone by herself. It exited building before additional personnel arrives.","Closed","Los Angeles",34.1277503,"-117.7401422"
"WIR-2022-000545","2/16/2022 0:00","Black Bear","Potential Human Conflict","A student reported sighting a bear by the bear-proof trash cans at the Crossroads area on the lower campus.","Closed","Los Angeles",34.1243887,"-117.7388065"
"WIR-2022-000501","2/12/2022 0:00","Black Bear","Depredation","(Added by Investigator) RP information relayed by Kylie Buchheit (SURCOM) on 2/12/22 - ""We received a call from Deputy Solato with Crescenta Valley PD stating that there are 2 or 3 bears that seem to have moved into a crawl space under the house at address 5138 Redwillow Ln. The bears have been under the house since Wednesday. Deputies did respond out there and did not see tags on the bears and the units are no longer on scene.""","Closed","Los Angeles",34.2085242,"-118.1804686"
"WIR-2022-000499","2/13/2022 0:00","Black Bear","Potential Human Conflict","On the listed date at 1:45 pm, I received a phone call from Ms. Lantz reporting a bear at the upper athletic gate.  At 2:00 pm, Ms. Haleftiras called the security phone and said that a bear cub was between housing #15 and the Chapel lot.  At 2:07 pm, Mr. Flucker called to security phone and reported a large bear between housing unit #4 & housing unit #5.  I drove to these locations and saw a bear cub and a large bear.  I chased both animals away from the school residents' housing.","New","Los Angeles",34.1254034,"-117.7394127"
"WIR-2022-000480","2/10/2022 0:00","Black Bear","General Nuisance","He has been here since the morning 8am. And is currently sleeping in the bushes. I have small children and am concerned for their safety.","Closed","Los Angeles",34.2032247,"-118.1525295"
"WIR-2022-000479","2/7/2022 0:00","Black Bear","Depredation","On 2/7 a black bear broke into the home at 3051 Panorsma Drive in Tahoe City by breaking through the front door. The bear got into the kitchen in the house. Mr. Griffith attempted to close off the entrance, but couldn't completely repair the damage until 2/9. On 2/8 the bear returned and went in through the front door again accessing the kitchen again. Mr. Griffith reported that he had heard of other neighbors in the area experiencing damage from a single bear.","Active","Placer",39.1890348,"-120.1106627"
"WIR-2022-000466","2/9/2022 0:00","Black Bear","Potential Human Conflict","The larger bear walked slowly from the gym area up hill towards the track/football field area.","Closed","Los Angeles",34.1277437,"-117.7403085"
"WIR-2022-000453","2/4/2022 0:00","Black Bear","Potential Human Conflict","I observed several incidents.  1. Mama Bear and 2 cubs have been in my yard broken pipes and mama charged at me when I made loud noise. 2. countless times the bears have broken into my trash cans and bee aggressive when I've tried to save them away. not I am disabled and move slowly.  3. when exiting my car with any food, the bear has come to me and must drive away. they have broken into cars here before.  4. my neighbor came home to mama bear  and 2 large cubs inner home and they didn't respond to a high decibel horn. She is a senior and was afraid for her life. they returned3 more times that day. She lives one door away from me. 5. 2 days later, the same bear and cubs broke into another neighbors and ransacked the refrigerator. She has two children. What is it going to take for you to protect us?we are in Sierra Madre CA.","Closed","Los Angeles",34.1729649,"-118.0368944"
"WIR-2022-000445","2/8/2022 0:00","Black Bear","Depredation","Bear broke chicken coop and sun room garden.he also broke the deck fence coming to the deck balcony","Active","Del Norte",41.7907877,"-124.1774946"
"WIR-2022-000442","2/4/2022 0:00","Black Bear","Depredation","(Uploaded by Investigator) RP reported on behalf of neighbor to Rebecca Barboza - ""the mom + two cubs broke into a secured shed, got into a fridge and caused a lot of damage - pictures attached. The owners of the home kept their distance, and did not get a picture of the bear. It's the same well known mom and cubs. When I next see her I will get you the ear tag number. No pets or humans were injured, only property."" In addition, RP reported on 2/7 - ""I just saw the mom and cubs and can confirm her ear tag is 508. They are up to their favorite activity - eating trash."" Phone number for RP/contact info for neighbor not provided.","Closed","Los Angeles",34.1746419,"-118.0440562"
"WIR-2022-000439","2/7/2022 0:00","Black Bear","Potential Human Conflict","Black bear mother and cubs have recently been much more aggressive in neighborhood and our house. In the last week:   1. Bears have destroyed metal grill protecting entrance to under house and multiple times occupied underneath house for extended periods (several hours through a day at a time).  2. Bears climbed over gates to walkway around rear of house. Cubs have sometimes gotten stuck causing mother to damage gates and destroy various potted plants, branches, fence palings, and other material in vicinity of gates.  3. Bears broke into outside refrigerator which was sealed (and had not had bears investigate it for 8+ years, the entire time we have lived in this location) and destroyed shelving and material inside.  4. Bears got into garbage stored in far rear small walkway behind house in gated/fenced area for first time since we have lived here (8+ years).  5. Defecation in numerous locations around the property, including immediately outside of front doors.  6. For the first time since we have resided at this property (to our knowledge), the bears are now climbing on the roof. Minor damage to windows and sun-roofs has resulted, but there are potential causes of concern (e.g. roof windows which could not support their weight).  7. Multiple neighbors (including the house immediately behind ours, and the house immediately across the street) have had the bears break into the house through locked doors or windows and spend extended periods of time inside the house, within the last two months. Especially concerning with two 7-year old children in the house.  We are concerned that the animals have been more aggressive and/or habituated. The incidents above were not the product of a single visit by the bears, but several repeated incidents over the last couple of weeks. In the last two months the number of similar reports we have heard from our neighbors outnumbers those we heard in the previous 8 years. Until a couple months ago there had not been a single report in our time at this location, to our knowledge, of the bears entering a house (just occasional garbage nuisance problems, when garbage bins were left out before trash day), and now both neighbors have reported it. In this same time the bears have repeatedly investigated our house doors (approaching and touching them) and are regularly coming under the house for extended periods, increasingly making us and our children uncomfortable getting to/from the car to go to school or work.","Active","Los Angeles",34.1734574,"-118.043341"
"WIR-2022-000422","2/6/2022 0:00","Black Bear","General Nuisance","Bear was reported near a faculty resident, security responded and was able to guide the bear to the western hills","Closed","Los Angeles",34.1252968,"-117.7393698"
"WIR-2022-000421","1/28/2022 0:00","Black Bear","General Nuisance","Observed in daytime walking around property. Has turned over a large garbage dumpster at least 3 times. Has turned over compost barrels once. Neighbors are reporting same issues with (presumably) the same bear.","New","Lake",38.8741992,"-122.7616826"
"WIR-2022-000403","2/4/2022 0:00","Black Bear","Potential Human Conflict","BEAR WAS SPOTTED LOOKING THROUGH TRASH CAN, AFTER NOTICING ME IT RAN AWAY INTO THE WOODS.","Closed","Los Angeles",34.1247732,"-117.7381601"
"WIR-2022-000396","2/3/2022 0:00","Black Bear","Depredation","There is a large bear with a yellow ear tag and 2 very large cubs. I have observed these bears coming in and out of my yard for the last year and a half.  About 3 months ago I found the interior of my car so damaged by this bear I had to get a new car.  Today I get a call at work from my 80 year old father telling me he just returned home to find a murder scene. These bears broke into my home and not only destroyed my kitchen but killed my 15 year old daughter's guinea pig. There is blood and guts all over the house and the carpet is stained with blood. I no longer feel safe walking from my car to my front door. I also found bear prints and fur on my daughter's bed. I'm scared to death. Please help asap.","Closed","Los Angeles",34.1713105,"-118.0507927"
"WIR-2022-000356","1/31/2022 0:00","Black Bear","General Nuisance","Good afternoon, The bear when it comes down from the san Gabriel foothills. It claw's everything in its path when attempting to access  food.  We have all of our trash in giant enclosures however, it has constantly ripped the wooden doors off or damaged them repeatedly. Or it tips over the cooking oil that was in a sealed container on our loading dock and eats that for a while. Which creates a tripping/slipping hazard for my staff and residents. The bears can be seen at times roaming the campus which also is safety hazard because this is a senior facility and residents don't move that fast to get to safety from the bears path. Please can anything be done? Mabey relocate the bears to a new habitat away from civilization and especially a senior facility. Because within the past year they have gotten very comfortable an brave around humans. I just don't want anyone to get hurt on the property that could have been avoided. If you have any further question please reach out to me at 909-434-7808. or by email  Sheldon.Stallworth@humangood.org","Closed","Los Angeles",34.1466054,"-117.9707726"
"WIR-2022-000343","1/29/2022 0:00","Black Bear","Depredation","Aggressive behavior when scaring away from trash previously.","Active","Madera",37.3840506,"-119.7177308"
"WIR-2022-000333","1/27/2022 0:00","Black Bear","Potential Human Conflict","Traveled through campus.","Closed","Los Angeles",34.1243602,"-117.740212"
"WIR-2022-000332","1/28/2022 0:00","Black Bear","General Nuisance","The bear was reported infront of the female dorms, the security team responded and had visuals until the bear ran towards the hills where we lost visuals","Closed","Los Angeles",34.1254389,"-117.739756"
"WIR-2022-000331","1/28/2022 0:00","Black Bear","General Nuisance","The bear was spotted near the female dorm area, the security team was notified and responded to that area but was unable to locate the bear.","Closed","Los Angeles",34.1253679,"-117.7395414"
"WIR-2022-000330","1/28/2022 0:00","Black Bear","Potential Human Conflict","It walked around the upper campus, climbed up several trees, took time eating olives while treed at the olive tree, and departed via Webb Canyon Rd.","New","Los Angeles",34.1274084,"-117.7396004"
"WIR-2022-000313","1/21/2022 0:00","Black Bear","Potential Human Conflict","(Added by Investigator)- RP contacted with SURCOM, Joy Budnovich; ""resident called very agitated that there was a bear in her yard.  She said she was trapped in her home and that bears and mountain lions are too comfortable in the area. She would like to speak to someone regarding this as she feels it is a public safety issue with the wildlife in the area."" Email for RP not provided.","Closed","Los Angeles",34.1603377,"-117.9032162"
"WIR-2022-000310","1/14/2022 0:00","Black Bear","General Nuisance","(Added by Investigator) RP contacted SURCOM, Araceli Ceja, stating there was a bear in his trash can; said the bear left around 0815 hrs. Email address for RP not provided.","Closed","Los Angeles",34.2099975,"-118.1636196"
"WIR-2022-000266","1/24/2022 0:00","Black Bear","General Nuisance","Bear was spotted near female dorms, security was able to push it towards the hills where I lost visuals","New","Los Angeles",34.12551,"-117.7393698"
"WIR-2022-000232","1/22/2022 0:00","Black Bear","Potential Human Conflict","The bear seems to be reluctant/scared, while traveling through the upper campus it made stops and made a series of short repetitive grunting/moaning sounds when stopped.","Closed","Los Angeles",34.1274185,"-117.7396273"
"WIR-2022-000231","1/22/2022 0:00","Black Bear","Potential Human Conflict","BEAR SPOTTED NEAR DORMS,  CHARGED ONE OF THE SECURITY GUARDS, TRYING TO DIRECT IT OFF","Closed","Los Angeles",34.1254034,"-117.7394556"
"WIR-2022-000216","1/21/2022 0:00","Black Bear","Sighting",NA,"Closed","Los Angeles",34.0189785,"-118.8151846"
"WIR-2022-000215","1/19/2022 0:00","Black Bear","Depredation","Bear grabbed lamb and killed it.","Active","El Dorado",38.5987869,"-120.7191633"
"WIR-2022-000211","1/20/2022 0:00","Black Bear","General Nuisance","The RP is accustomed to having wildlife on her property.  Her neighbor is building a fence opposite her wall, and she was concerned that a bear would not be able to get out of her yard.  After sending pictures to biologist Rebecca Barboza, Barboza informed the RP that an animal should be able to navigate out of her yard.  The fence is only 4 feet high and a bear would have no problem getting over it.","Closed","Los Angeles",34.1604966,"-118.0065207"
"WIR-2022-000198","1/19/2022 0:00","Black Bear","Potential Human Conflict","Hello! I filed two reports last year in September about bear feeding in Pine Mountain Club. Vicky Kraft let me know that you never received my reports so hopefully this goes through today. I have seen 9-12 bears in one location a dozen times over the course of a couple months back in fall 2021. The bears have been seen between two homes, one of the addresses is 15016 Chestnut Ct and 15020 Chestnut Ct. The home at 15016 had a boarded up window for some time and I have observed their dogs being non responsive to several bears within 15 feet of their home. The owners of both homes were non responsive to my efforts to move the bears along and didn't come outside. One of the days I was observing these bears, and a woman living at the home 15020 Chestnut Ct was observed walking within 10 feet of 4 bears who were nose to the ground eating. The woman had her dog with her and both the dog and woman were unfazed by the bears. I caught her on video and have a photo of this event. I also have several photos of multiples bears on this property from countless dates. I cannot get the images to attach as it just resets over and over. If there is another way to submit the images and video, I will. Thank you.","New","Kern",34.8367599,"-119.1436592"
"WIR-2022-000197","1/19/2022 0:00","Black Bear","Potential Human Conflict","Hello! I filed two reports last year in September about bear feeding in Pine Mountain Club. Vicky Kraft let me know that you never received my reports so hopefully this goes through today. I have seen 9-12 bears in one location a dozen times over the course of a couple months back in fall 2021. The bears have been seen between two homes, one of the addresses is 15016 Chestnut Ct and 15020 Chestnut Ct. The home at 15016 had a boarded up window for some time and I have observed their dogs being non responsive to several bears within 15 feet of their home. The owners of both homes were non responsive to my efforts to move the bears along and didn't come outside. One of the days I was observing these bears, and a woman living at the home 15020 Chestnut Ct was observed walking within 10 feet of 4 bears who were nose to the ground eating. The woman had her dog with her and both the dog and woman were unfazed by the bears. I caught her on video and have a photo of this event. I also have several photos of multiples bears on this property from countless dates. I will attach them here. Sometimes it doesn't work so if you get this report and no attachments, reach out to me. Thank you.","New","Kern",34.8367599,"-119.1436163"
"WIR-2022-000196","1/6/2022 0:00","Black Bear","General Nuisance","(Uploaded by Investigator) Observed emaciated/small bear cub (cat sized) roaming the neighborhood and in back yard on 1/6/22; there have been sightings of this cub since November (community members posting about it on Facebook); a rehabber was contacted prior but don't know what came of it.","Closed","Los Angeles",34.2056544,"-118.1610914"
"WIR-2022-000180","1/9/2022 0:00","Black Bear","Depredation","Black bear has returned since the previous depredation permit expired (with no success). Previous permit # was P-2021-002621. There was significant damage to the cover over the trailers, again. The incident occurred on 12/9/21.","New","Kern",35.7093015,"-118.4136509"
"WIR-2022-000174","1/17/2022 0:00","Black Bear","Potential Human Conflict","On 01/17/2022 at 10:46 am, a large bear came on campus near a resident home. A security guard found the bear and chased it off-campus.  It appeared to be the same bear earlier.","New","Los Angeles",34.1254146,"-117.7394985"
"WIR-2022-000173","1/17/2022 0:00","Black Bear","Potential Human Conflict","on 01/17/22 @ 9:52 am, a large adult bear came on campus and into a student isolation area.  This area has students that were quarantined for covid.  A security officer found the bear and chased it off campus.,","New","Los Angeles",34.125379,"-117.7394985"
"WIR-2022-000170","1/17/2022 0:00","Black Bear","Sighting",NA,"Closed","Ventura",34.2610436,"-118.8859828"
"WIR-2022-000166","1/16/2022 0:00","Black Bear","General Nuisance","Bear made a den under pine tree roots, causing it to uproot in latest windstorm and land on house at end of Lakeview Ave. This bear is now disturbed from hibernation and trying to get in houses/garages for food on Lakeview in South Lake Tahoe.","Active","El Dorado",38.9432474,"-119.9899709"
"WIR-2022-000159","1/15/2022 0:00","Black Bear","Potential Human Conflict","Active bear den under house.","Closed","El Dorado",38.9439824,"-119.985977"
"WIR-2022-000157","1/15/2022 0:00","Black Bear","Potential Human Conflict","From about 4:00 AM to 5:00 AM today, I heard groans from behind my house. Could not see the animals causing the groans because it was dark. They continued on and off for about an hour.  After listening to recordings on the internet, what I heard sounded very much like black bears moaning/groaning. It sounded like at least two or three individual animals. Perhaps a mother and cubs because there were deep-pitched groans and slightly higher-pitched groans. I can send in MP3 recordings if desired.","New","San Luis Obispo",35.131639,"-120.5735288"
"WIR-2022-000155","1/14/2022 0:00","Black Bear","Potential Human Conflict","Bear with cub traveling through the school upper campus grounds, briefly went into students upper dorms area.","New","Los Angeles",34.1261069,"-117.7391713"
"WIR-2022-000139","1/12/2022 0:00","Black Bear","General Nuisance","I'm sure you have heard of the bear incidents in Cameron Park in the vicinity of Meder and Sudbury Road but here is something that may be of interest.  I live at 3286 Sudbury and with my morning dog walks I have seen evidence of trash scavenging and scat move from upper to lower Sudbury.  One neighbor had his compost bin scavenged near Cameron Park Drive.  A couple of weeks ago a deer carcass was seen where my property adjoins Cameron Park Drive before the bend to Oxford. My neighbor contacted the county to have it removed but they didn't respond. On Wednesday I noticed while driving past that the carcass had been dragged about 10' toward the storm drain. The hide was stripped and ribs exposed.  I'm not an expert but if this was the result of bear scavenging it could be a bigger safety problem if they start crossing Cameron Park Drive.","New","El Dorado",38.6737652,"-120.9803712"
"WIR-2022-000125","1/6/2022 0:00","Black Bear","General Nuisance","Alan and neighbors have been experiencing a lot of recent bear activity- originally reached out to City Manager's Office for City of La Cañada Flintridge to look into bear-resistant trash cans.","Closed","Los Angeles",34.2206453,"-118.2107993"
"WIR-2022-000117","1/10/2022 0:00","Black Bear","General Nuisance","On 1/10/22 at 0400, our garage  security  camera noted a black bear approaching the garage coming up the driveway from the south.  The bear again activated the camera in 3-4 minutes coming from the north west, appearing to have circled the garage. The bear went off camera to the west.  Later that morning, we discovered the empty  gray garbage can had been turned over. On 11/1/21 at 2028 the same garage security camera noted a black bear approaching up the driveway from the south. This is the only other recorded incident. Home site is 2490 Atlas Peak Rd, Napa, CA 94558","New","Napa",38.3677797,"-122.2490429"
"WIR-2022-000113","1/12/2022 0:00","Black Bear","General Nuisance","Bear came onto our property again last night around the 01:30 timeframe. It got into a rat bait box set out by the pest control company. We are following all bear mitigation recommendations and this bear continues to come to our property. We've found paw prints on the windows including an entry door and are concerned about the increasing brazen activities by the bear(s).","New","Napa",38.4804926,"-122.2688418"
"WIR-2022-000105","1/11/2022 0:00","Black Bear","General Nuisance","Bear cub that appears to be orphaned and has been on our property for two days. The bear spends time in the back yard at night and sleeps in the front yard oak tree during the day. We cannot tell what condition its in.","Closed","Los Angeles",34.1520395,"-117.8397234"
"WIR-2022-000104","1/11/2022 0:00","Black Bear","Potential Human Conflict","TWO BEARS NEAR GYM AND DORM AREAS, NON-AGGRESSIVE BUT STUDENTS KEPT IN UNTIL THEY PASS","New","Los Angeles",34.1253847,"-117.7394848"
"WIR-2022-000102","1/11/2022 0:00","Black Bear","Potential Human Conflict","YOUNG BEAR RETURNED TO THE AREA BEHIND JONES DORM, OUR TEAM WENT TO ENCOURAGE IT TO LEAVE THE AREA","Closed","Los Angeles",34.1262468,"-117.7382832"
"WIR-2022-000100","1/11/2022 0:00","Black Bear","Potential Human Conflict","BEAR WAS NEAR AN OCCUPIED AREA EATING SOME HONEY FROM BEES NESTING NEAR A ROOF. IT WAS NOT DIRECTLY  AGGRESSIVE BUT CAUSED STUDENTS TO HAVE TO REMAIN IN A ROOM UNTIL IT MOVED AWAY FROM AN ENTRANCE","Closed","Los Angeles",34.1246114,"-117.7385836"
